"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Jackson Heights","Queens","11372","11372","18+",49589.9,6252,56884,63136,31435,10631,12.61,114.71,127.32,63.39,21.44
2023-07-13,"Elmhurst","Queens","11373","11373","18+",74412.58,9073,87967,97040,50388,14622,12.19,118.22,130.41,67.71,19.65
2023-07-13,"Rego Park","Queens","11374","11374","18+",34948.32,2595,33623,36218,19362,7055,7.43,96.21,103.63,55.4,20.19
2023-07-13,"Forest Hills","Queens","11375","11375","18+",59627.01,3754,51318,55072,34075,16094,6.3,86.07,92.36,57.15,26.99
2023-07-13,"Woodside","Queens","11377","11377","18+",68556.99,6793,71040,77833,39758,12598,9.91,103.62,113.53,57.99,18.38
2023-07-13,"Maspeth","Queens","11378","11378","18+",28126.17,2275,26020,28295,13319,3458,8.09,92.51,100.6,47.35,12.29
2023-07-13,"Middle Village","Queens","11379","11379","18+",29592.35,1714,25442,27156,13941,4409,5.79,85.97,91.77,47.11,14.9
2023-07-13,"Glendale/Ridgewood","Queens","11385","11385","18+",79512.77,7175,69824,76999,33366,10285,9.02,87.81,96.84,41.96,12.94
2023-07-13,"Cambria Heights","Queens","11411","11411","18+",17780.06,1161,13547,14708,6820,2052,6.53,76.19,82.72,38.36,11.54
2023-07-13,"St. Albans","Queens","11412","11412","18+",30605.05,2358,24908,27266,11187,3035,7.7,81.39,89.09,36.55,9.92
2023-07-13,"Laurelton/Rosedale","Queens","11413","11413","18+",34691.42,2284,26444,28728,12317,3462,6.58,76.23,82.81,35.5,9.98
2023-07-13,"Hamilton Beach/Howard Beach/Lindenwood","Queens","11414","11414","18+",22906.27,1141,17913,19054,9304,2754,4.98,78.2,83.18,40.62,12.02
2023-07-13,"Kew Gardens","Queens","11415","11415","18+",15351.36,1091,13772,14863,7871,2943,7.11,89.71,96.82,51.27,19.17
2023-07-13,"Ozone Park","Queens","11416","11416","18+",19793.91,1748,19660,21408,9301,1798,8.83,99.32,108.15,46.99,9.08
2023-07-13,"Ozone Park","Queens","11417","11417","18+",23723.61,1924,23137,25061,11939,2788,8.11,97.53,105.64,50.33,11.75
2023-07-13,"Richmond Hill","Queens","11418","11418","18+",28809.61,2657,27320,29977,13306,3509,9.22,94.83,104.05,46.19,12.18
2023-07-13,"Richmond Hill/South Ozone Park","Queens","11419","11419","18+",37919.05,3183,37299,40482,18185,3528,8.39,98.36,106.76,47.96,9.3
2023-07-13,"South Ozone Park","Queens","11420","11420","18+",37131.19,2567,35026,37593,17227,3528,6.91,94.33,101.24,46.39,9.5
2023-07-13,"Woodhaven","Queens","11421","11421","18+",30741.48,2734,30703,33437,15236,3787,8.89,99.87,108.77,49.56,12.32
2023-07-13,"Rosedale","Queens","11422","11422","18+",25568.22,1880,20886,22766,9757,2450,7.35,81.69,89.04,38.16,9.58
2023-07-13,"Hollis/Holliswood","Queens","11423","11423","18+",25411.54,1812,22982,24794,12451,3584,7.13,90.44,97.57,49,14.1
2023-07-13,"Bellerose","Queens","11426","11426","18+",16079.91,1018,14437,15455,8866,2766,6.33,89.78,96.11,55.14,17.2
